
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:26 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:31 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:36 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:41 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:46 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:51 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:28:56 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:01 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:06 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:11 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:16 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:21 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:26 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:31 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.915 6 25.888	04/08/2011 05:29:36 	7 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.914 6 25.903	04/08/2011 05:29:41 	13 m			14 m	0:00:05	10 kph	95° true
Trackpoint	59 00.911 6 25.900	04/08/2011 05:29:46 	13 m			6 m	0:00:05	4 kph	206° true
Trackpoint	59 00.910 6 25.900	04/08/2011 05:29:51 	13 m			2 m	0:00:05	2 kph	186° true
Trackpoint	59 00.910 6 25.900	04/08/2011 05:29:56 	13 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.913 6 25.909	04/08/2011 05:30:01 	10 m			10 m	0:00:05	7 kph	59° true
Trackpoint	59 00.915 6 25.915	04/08/2011 05:30:06 	11 m			7 m	0:00:05	5 kph	50° true
Trackpoint	59 00.917 6 25.921	04/08/2011 05:30:11 	10 m			7 m	0:00:05	5 kph	56° true
Trackpoint	59 00.920 6 25.926	04/08/2011 05:30:16 	10 m			7 m	0:00:05	5 kph	51° true
Trackpoint	59 00.922 6 25.932	04/08/2011 05:30:21 	10 m			7 m	0:00:05	5 kph	53° true
Trackpoint	59 00.923 6 25.938	04/08/2011 05:30:26 	11 m			6 m	0:00:05	4 kph	63° true
Trackpoint	59 00.925 6 25.943	04/08/2011 05:30:31 	11 m			6 m	0:00:05	4 kph	54° true
Trackpoint	59 00.927 6 25.948	04/08/2011 05:30:36 	10 m			6 m	0:00:05	4 kph	57° true
Trackpoint	59 00.929 6 25.953	04/08/2011 05:30:41 	11 m			6 m	0:00:05	4 kph	55° true
Trackpoint	59 00.929 6 25.953	04/08/2011 05:30:46 	11 m			1 m	0:00:05	0.6 kph	34° true
Trackpoint	59 00.929 6 25.953	04/08/2011 05:30:51 	11 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.929 6 25.953	04/08/2011 05:30:56 	11 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:01 	12 m			4 m	0:00:05	3 kph	219° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:06 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:11 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:16 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:21 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:26 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:31 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:36 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.928 6 25.951	04/08/2011 05:31:41 	12 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.925 6 25.943	04/08/2011 05:31:46 	13 m			9 m	0:00:05	7 kph	233° true
Trackpoint	59 00.923 6 25.937	04/08/2011 05:31:51 	11 m			6 m	0:00:05	4 kph	243° true
Trackpoint	59 00.922 6 25.931	04/08/2011 05:31:56 	11 m			6 m	0:00:05	4 kph	260° true
Trackpoint	59 00.922 6 25.929	04/08/2011 05:32:01 	11 m			2 m	0:00:05	2 kph	246° true
Trackpoint	59 00.921 6 25.928	04/08/2011 05:32:06 	11 m			2 m	0:00:05	1.2 kph	232° true
Trackpoint	59 00.919 6 25.924	04/08/2011 05:32:11 	11 m			6 m	0:00:05	4 kph	223° true
Trackpoint	59 00.916 6 25.918	04/08/2011 05:32:16 	10 m			8 m	0:00:05	5 kph	226° true
Trackpoint	59 00.914 6 25.911	04/08/2011 05:32:21 	9 m			8 m	0:00:05	5 kph	236° true
Trackpoint	59 00.913 6 25.905	04/08/2011 05:32:26 	9 m			7 m	0:00:05	5 kph	248° true
Trackpoint	59 00.911 6 25.898	04/08/2011 05:32:31 	9 m			7 m	0:00:05	5 kph	248° true
Trackpoint	59 00.910 6 25.892	04/08/2011 05:32:36 	9 m			6 m	0:00:05	5 kph	248° true
Trackpoint	59 00.910 6 25.892	04/08/2011 05:32:41 	9 m			0 m	0:00:05	0 kph	0° true
Trackpoint	59 00.907 6 25.881	04/08/2011 05:32:46 	8 m			12 m	0:00:05	9 kph	243° true
Trackpoint	59 00.906 6 25.874	04/08/2011 05:32:51 	9 m			7 m	0:00:05	5 kph	256° true
Trackpoint	59 00.904 6 25.868	04/08/2011 05:32:56 	8 m			6 m	0:00:05	4 kph	240° true
Trackpoint	59 00.903 6 25.862	04/08/2011 05:33:01 	8 m			7 m	0:00:05	5 kph	248° true
Trackpoint	59 00.901 6 25.856	04/08/2011 05:33:06 	9 m			7 m	0:00:05	5 kph	243° true
Trackpoint	59 00.900 6 25.850	04/08/2011 05:33:11 	8 m			6 m	0:00:05	4 kph	239° true
Trackpoint	59 00.898 6 25.844	04/08/2011 05:33:16 	9 m			7 m	0:00:05	5 kph	244° true
Trackpoint	59 00.897 6 25.841	04/08/2011 05:33:21 	8 m			3 m	0:00:05	2 kph	232° true
Trackpoint	59 00.896 6 25.833	04/08/2011 05:33:26 	7 m			8 m	0:00:05	6 kph	251° true
Trackpoint	59 00.895 6 25.827	04/08/2011 05:33:31 	7 m			6 m	0:00:05	4 kph	252° true
