
Trackpoint	58 58.454 5 44.981	03/08/2011 14:32:09 	0 m			24 m	0:00:03	29 kph	78° true
Trackpoint	58 58.456 5 44.997	03/08/2011 14:32:11 	0 m			16 m	0:00:02	29 kph	79° true
Trackpoint	58 58.457 5 45.013	03/08/2011 14:32:13 	0 m			15 m	0:00:02	28 kph	82° true
Trackpoint	58 58.458 5 45.030	03/08/2011 14:32:15 	0 m			16 m	0:00:02	29 kph	82° true
Trackpoint	58 58.460 5 45.057	03/08/2011 14:32:18 	0 m			26 m	0:00:03	31 kph	85° true
Trackpoint	58 58.460 5 45.086	03/08/2011 14:32:21 	0 m			28 m	0:00:03	34 kph	87° true
Trackpoint	58 58.461 5 45.117	03/08/2011 14:32:24 	0 m			29 m	0:00:03	35 kph	89° true
Trackpoint	58 58.460 5 45.137	03/08/2011 14:32:26 	0 m			20 m	0:00:02	35 kph	92° true
Trackpoint	58 58.459 5 45.169	03/08/2011 14:32:29 	0 m			30 m	0:00:03	36 kph	94° true
Trackpoint	58 58.458 5 45.190	03/08/2011 14:32:31 	0 m			21 m	0:00:02	37 kph	95° true
Trackpoint	58 58.457 5 45.211	03/08/2011 14:32:33 	0 m			21 m	0:00:02	37 kph	97° true
Trackpoint	58 58.455 5 45.244	03/08/2011 14:32:36 	0 m			31 m	0:00:03	37 kph	96° true
Trackpoint	58 58.453 5 45.266	03/08/2011 14:32:38 	0 m			21 m	0:00:02	38 kph	98° true
Trackpoint	58 58.451 5 45.299	03/08/2011 14:32:41 	0 m			32 m	0:00:03	38 kph	99° true
Trackpoint	58 58.449 5 45.322	03/08/2011 14:32:43 	0 m			22 m	0:00:02	40 kph	99° true
Trackpoint	58 58.447 5 45.346	03/08/2011 14:32:45 	0 m			23 m	0:00:02	42 kph	98° true
Trackpoint	58 58.444 5 45.383	03/08/2011 14:32:48 	0 m			36 m	0:00:03	43 kph	97° true
Trackpoint	58 58.443 5 45.407	03/08/2011 14:32:50 	0 m			23 m	0:00:02	42 kph	98° true
Trackpoint	58 58.439 5 45.442	03/08/2011 14:32:53 	0 m			34 m	0:00:03	40 kph	101° true
Trackpoint	58 58.436 5 45.477	03/08/2011 14:32:56 	0 m			35 m	0:00:03	42 kph	101° true
Trackpoint	58 58.432 5 45.514	03/08/2011 14:32:59 	0 m			36 m	0:00:03	43 kph	101° true
Trackpoint	58 58.429 5 45.550	03/08/2011 14:33:02 	0 m			35 m	0:00:03	41 kph	99° true
Trackpoint	58 58.427 5 45.573	03/08/2011 14:33:04 	0 m			23 m	0:00:02	41 kph	99° true
Trackpoint	58 58.425 5 45.598	03/08/2011 14:33:06 	0 m			24 m	0:00:02	43 kph	100° true
Trackpoint	58 58.421 5 45.633	03/08/2011 14:33:09 	0 m			35 m	0:00:03	42 kph	102° true
Trackpoint	58 58.419 5 45.657	03/08/2011 14:33:11 	0 m			23 m	0:00:02	42 kph	102° true
Trackpoint	58 58.415 5 45.693	03/08/2011 14:33:14 	0 m			34 m	0:00:03	41 kph	101° true
Trackpoint	58 58.412 5 45.728	03/08/2011 14:33:17 	0 m			34 m	0:00:03	41 kph	100° true
Trackpoint	58 58.410 5 45.751	03/08/2011 14:33:19 	0 m			23 m	0:00:02	41 kph	99° true
Trackpoint	58 58.408 5 45.775	03/08/2011 14:33:21 	0 m			23 m	0:00:02	42 kph	98° true
Trackpoint	58 58.407 5 45.812	03/08/2011 14:33:24 	0 m			36 m	0:00:03	43 kph	95° true
Trackpoint	58 58.405 5 45.850	03/08/2011 14:33:27 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.404 5 45.875	03/08/2011 14:33:29 	0 m			24 m	0:00:02	43 kph	95° true
Trackpoint	58 58.402 5 45.900	03/08/2011 14:33:31 	0 m			24 m	0:00:02	43 kph	97° true
Trackpoint	58 58.400 5 45.937	03/08/2011 14:33:34 	0 m			36 m	0:00:03	43 kph	98° true
Trackpoint	58 58.398 5 45.974	03/08/2011 14:33:37 	0 m			35 m	0:00:03	42 kph	95° true
Trackpoint	58 58.397 5 45.999	03/08/2011 14:33:39 	0 m			24 m	0:00:02	43 kph	96° true
Trackpoint	58 58.395 5 46.036	03/08/2011 14:33:42 	0 m			36 m	0:00:03	43 kph	95° true
Trackpoint	58 58.393 5 46.073	03/08/2011 14:33:45 	0 m			35 m	0:00:03	42 kph	95° true
Trackpoint	58 58.392 5 46.109	03/08/2011 14:33:48 	0 m			35 m	0:00:03	42 kph	95° true
Trackpoint	58 58.391 5 46.146	03/08/2011 14:33:51 	0 m			35 m	0:00:03	43 kph	93° true
Trackpoint	58 58.390 5 46.184	03/08/2011 14:33:54 	0 m			36 m	0:00:03	43 kph	94° true
Trackpoint	58 58.388 5 46.221	03/08/2011 14:33:57 	0 m			36 m	0:00:03	43 kph	95° true
Trackpoint	58 58.386 5 46.248	03/08/2011 14:33:59 	0 m			26 m	0:00:02	46 kph	96° true
Trackpoint	58 58.384 5 46.286	03/08/2011 14:34:02 	0 m			37 m	0:00:03	44 kph	96° true
Trackpoint	58 58.383 5 46.324	03/08/2011 14:34:05 	0 m			36 m	0:00:03	43 kph	93° true
Trackpoint	58 58.383 5 46.348	03/08/2011 14:34:07 	0 m			24 m	0:00:02	42 kph	92° true
Trackpoint	58 58.381 5 46.385	03/08/2011 14:34:10 	0 m			36 m	0:00:03	43 kph	95° true
