0.0	0.0	0.0	0.0	0.0	
45.42839	-75.72798	2.8	0.0	4.0	
45.42839	-75.72798	2.8	0.0	4.0	
45.42839	-75.72798	2.8	0.0	4.0	
45.42839	-75.72798	2.8	0.0	4.0	
45.42832	-75.72799	11.2	3.0	4.0	
45.428104	-75.72783	9.4	4.0	4.0	
45.427914	-75.72773	10.5	3.75	4.0	
45.427677	-75.72753	12.9	6.25	3.0	
45.42744	-75.72737	13.5	4.75	4.0	
45.42724	-75.72719	16.5	5.25	4.0	
45.42703	-75.727036	16.3	4.5	4.0	
45.426838	-75.72686	20.4	4.0	4.0	
45.42664	-75.72678	20.9	4.0	4.0	
45.42646	-75.726715	20.1	4.0	4.0	
45.426273	-75.726685	20.2	3.5	4.0	
45.426075	-75.72665	20.6	3.75	4.0	
45.42593	-75.72653	20.4	3.25	4.0	
45.42595	-75.726135	20.5	5.5	4.0	
45.426003	-75.72568	19.4	7.0	4.0	
45.426144	-75.72529	18.4	6.25	4.0	
45.42623	-75.72499	18.9	4.5	4.0	
45.42634	-75.7247	20.1	4.5	4.0	
45.426445	-75.724434	20.9	4.25	4.0	
45.42654	-75.72427	25.1	2.75	4.0	
45.426582	-75.724106	26.1	2.75	4.0	
45.42666	-75.72391	26.9	3.5	4.0	
45.426716	-75.72367	28.4	3.75	4.0	
45.42679	-75.7234	27.7	4.0	4.0	
45.42683	-75.723114	25.8	4.25	4.0	
45.42683	-75.72282	26.8	4.25	4.0	
45.426834	-75.72251	27.0	4.25	4.0	
45.426853	-75.72222	28.4	4.0	4.0	
45.426872	-75.72198	29.0	3.75	4.0	
45.426895	-75.72172	30.5	3.75	4.0	
45.4269	-75.721466	31.5	3.75	4.0	
45.426895	-75.72114	32.4	5.5	4.0	
45.426918	-75.72075	31.8	6.25	4.0	
45.426937	-75.72035	31.4	5.5	4.0	
45.42696	-75.72009	30.0	3.5	4.0	
45.42699	-75.71996	31.6	2.25	4.0	
45.42711	-75.719955	31.6	2.75	5.0	
45.42729	-75.720024	31.0	3.75	4.0	
45.427505	-75.72003	30.6	4.25	4.0	
45.427723	-75.72004	31.3	4.5	3.0	
45.427933	-75.72007	30.9	4.25	4.0	
45.428127	-75.72008	31.4	4.25	3.0	
45.42836	-75.72012	30.3	5.5	4.0	
45.428635	-75.720146	29.5	6.0	4.0	
45.428844	-75.72019	27.2	4.0	3.0	
45.429016	-75.72021	27.7	4.0	4.0	
45.429283	-75.72024	27.4	6.5	4.0	
45.429676	-75.72027	25.7	9.0	3.0	
45.43009	-75.72027	27.1	9.0	5.0	
45.430447	-75.72029	26.0	7.5	4.0	
45.430676	-75.7203	25.6	4.0	4.0	
45.43073	-75.720314	24.7	1.25	4.0	
45.43073	-75.720314	24.7	1.25	4.0	
45.43073	-75.720314	24.7	1.25	4.0	
45.43069	-75.720276	26.6	1.25	3.0	
45.43069	-75.720276	26.6	1.25	3.0	
45.430656	-75.72034	27.3	1.25	4.0	
45.430645	-75.72045	25.5	1.75	4.0	
